,ITPKB,ITPKB,ITPKB,IP6K2,IP6K2,IP6K2,IP6K1,IP6K1,IP6K1,PPIP5K2,PPIP5K2,PPIP5K2,IP6K3,IP6K3,IP6K3,IPPK,IPPK,IPPK,IPMK,IPMK,IPMK,ITPK1,ITPK1,ITPK1,ITPKA,ITPKA,ITPKA,PPIP5K1,PPIP5K1,PPIP5K1,ITPKC,ITPKC,ITPKC
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esophagus: Esophagus - Muscularis,32.839023127700344,9.002028078366404,99,9.849487482899367,2.7546024504139375,99,15.96389743535206,2.53537984683354,99,1.797538243158899,0.38031923342184054,99,1.3863927629409412,1.0309130160325901,99,2.2434180384934552,0.47766603440286626,99,0.9437199542016697,0.4710578433591597,99,32.082733645583644,7.814373102771138,99,0.4804590719215797,0.33215772281447264,99,2.5360950267676152,0.5659587435072603,99,17.34344933249734,9.547585455361451,99
Fallopian Tube: Fallopian Tube,21.062329769134518,8.607063348271142,6,16.914117018381756,7.058844360086705,6,15.739385445912683,3.117295978356348,6,3.1847908496856685,0.3199747058803496,6,1.3528705139954882,1.3679069928217913,6,3.312851945559183,0.7733245383164461,6,1.0720675786336262,0.2762075181430444,6,11.668058395385751,1.459376207757924,6,0.43375299870967865,0.26386688669645275,6,2.7927292982737217,1.109848943412646,6,25.169037501017268,4.76398382361322,6
Heart: Heart - Atrial Appendage,3.047853494945326,1.1255053687700707,38,11.062064534739452,5.1316828453421905,38,6.611150076514797,1.3316120627086807,38,1.9615733121570795,0.532217460944506,38,7.953346669673917,4.4419216889938395,38,3.793484157637546,1.248767809075891,38,0.9811446792200992,0.5123927893150699,38,13.489061330494119,3.6940890883027557,38,0.3375381084257051,0.19546236429220754,38,1.808359607269889,0.3621959156541158,38,9.336387715841598,4.450884878329,38
Heart: Heart - Left Ventricle,4.7360719618044405,1.5870315121830383,95,7.210418239392732,2.4047156374308982,95,5.959892737238031,1.7392166295161213,95,2.163452091969942,1.0272040771417144,95,15.537832486002069,7.838281538009582,95,2.516330139260543,1.0318538212662196,95,0.8187091959150216,0.9273571017175988,95,12.615081977844243,3.6654144864422933,95,1.3392516145188555,1.0572562242252836,95,1.28700007451208,0.36133063432948664,95,8.686163256042882,7.0474588750840805,95
Kidney: Kidney - Cortex,7.746494799852375,4.87360536074928,8,21.425609230995175,10.116259149773464,8,12.320458531379693,3.7022403251236766,8,1.915741771459579,1.2348371588242197,8,4.054527133703231,2.36008013308842,8,2.4005561247468,1.1066758240704615,8,0.8037861809134478,0.2361332743690529,8,13.368234872817995,4.1758622766172255,8,0.14687747415155172,0.0918029579235323,8,3.04394380748272,1.3131155788456796,8,10.89942336082458,3.815245071591008,8
Liver: Liver,0.9101867114796356,0.37914817857686955,34,9.821227880085218,4.5359537339559,34,5.799912887461044,1.9992020670408854,34,1.5296271495959335,0.39389214162087266,34,8.29978435837171,11.96006450984894,34,1.6044731929021725,0.6715861508831085,34,1.530634166563258,1.0902720249584386,34,8.56592521947973,3.136079150035557,34,0.5951204961713621,0.4317309849951554,34,1.4681984221234026,0.6324264465896297,34,6.882301299011005,4.351850437475465,34
Lung: Lung,12.202327825073015,4.640870388478029,133,14.188573514608512,3.833795008239909,133,13.781993353277219,2.4154445644192335,133,2.6044716283791045,0.8069928985101972,133,4.527899183949135,2.8177662288067924,133,2.7722875166656378,0.7227962523641298,133,1.91601432355723,0.696697916239207,133,11.579424517495292,1.9996792135301402,133,0.4080912417038938,0.32160670853039547,133,2.0826710735944878,0.5887680209282236,133,36.99692550099881,23.648948114724057,133
Muscle: Muscle - Skeletal,2.0893665738166516,0.8435242613696781,157,4.340380039944011,1.6272169479899792,157,4.619438208592166,1.5460456854594564,157,0.5098194345167488,0.24081136454459295,157,118.2369187834916,52.133519345488395,157,2.2874935425011214,0.8672874117933856,157,1.34991469201009,0.8021500688227831,157,6.442816020576816,2.719923812753773,157,2.1123974972232507,6.331452483467582,157,2.562385249289737,0.9145642935042847,157,9.440829399285043,6.224317945709527,157
Nerve: Nerve - Tibial,17.887926637080675,4.702205370124215,114,36.15405711793063,11.3052369049218,114,15.618120394254982,2.15528301172378,114,4.332950742621171,1.3632737145469072,114,1.4430872929331504,1.3852214229005047,114,2.776296058244873,0.6480688703702386,114,1.7643977706892449,0.5459491183341671,114,32.466329524391575,7.318780902979682,114,0.12228486768639925,0.09437946055980391,114,3.33992890726056,0.9459299418789273,114,32.81235911553366,14.491927064704068,114
Ovary: Ovary,6.132044601440429,1.7989362671320561,35,24.711704989842012,6.389358281093686,35,17.789258602687294,2.900826990255984,35,3.7499973160879954,0.5200564764770643,35,0.27387378516473954,0.31664948347757504,35,2.4084862368447433,0.6084048377032738,35,0.9255686223506927,0.37739365451987933,35,9.731177616119387,2.128602555559367,35,0.301661401135581,0.2620380221229496,35,3.280361328806196,0.5842842646181473,35,11.250400488717215,3.436941024274091,35
Pancreas: Pancreas,2.291178143941439,0.5538581480530534,65,11.810981625777025,3.2543903680289157,65,8.108670513446512,1.9131412008681634,65,1.9980983220613924,0.42241229320082574,65,0.3099524909487137,0.28127785463521715,65,1.3964077215928297,0.4110637626006302,65,1.0132205880605254,0.29494772502053984,65,6.212451773423415,1.2557556517776487,65,0.7033249415457248,0.47150517065127984,65,1.9076859620901252,0.6125976492513429,65,9.701332374719472,4.5662394529385,65
Pituitary: Pituitary,3.304399598728526,1.921235930155419,22,33.592131094499074,6.304387511665023,22,18.152261083776303,2.091017866876353,22,3.770741993730718,0.818275868502121,22,0.3750598137266934,0.710146312209594,22,5.2580120021646675,1.517383002910937,22,1.9336194775321274,0.711882425247951,22,8.161403005773368,1.9026415277474966,22,0.32505586895753047,0.4028423636989587,22,11.923295216126872,1.9373367463482167,22,14.794580698013313,8.08227704918512,22
Prostate: Prostate,11.028490021115257,2.8800242289699893,42,32.176314626421245,11.694273028275552,42,14.746624583289737,2.467403735655639,42,2.6694494202023464,0.5770398393027919,42,5.400591264168421,4.770053779368703,42,2.9659980138142905,0.8002795070658205,42,1.264696837890716,0.42466045846959055,42,16.01934335345315,3.60295160723131,42,0.6467502301647547,0.5508670485527102,42,4.511811142876034,1.151153414606872,42,23.210921787080306,8.702954117851572,42
Salivary Gland: Minor Salivary Gland,8.138293361663816,2.2376274155966427,5,21.133399200439463,2.477268115618348,5,11.276940536499033,1.9428692346208802,5,2.6814153909683243,0.5720750385793021,5,2.052396535873413,1.5789155770966385,5,7.026751708984378,5.554851120665303,5,2.346025085449218,0.7472728298110295,5,7.3061092376709,1.5327772940898226,5,0.8729348540306093,0.3869995397061233,5,4.459304141998293,0.10280586688225032,5,52.12715206146246,53.92746116449081,5
Skin: Cells - Transformed fibroblasts,1.7976450418272325,0.8702720529847322,155,11.211378968146539,2.197537573719748,155,13.264462068003994,3.97618849079019,155,3.2850353348639705,0.4953469929492582,155,0.6166886288252088,0.607820684551479,155,4.1225235977480486,1.137916145112663,155,2.798725986480713,1.0140530520671156,155,8.24158340423338,3.564250747747786,155,1.8240602750451331,1.652900760411376,155,1.6511020720005036,0.7457911131867251,155,20.97022285153789,11.37990751457467,155
Skin: Skin - Not Sun Exposed (Suprapubic),12.337913350361152,2.8797553623738783,41,30.158250273727784,8.12948142692683,41,13.401949754575398,3.599795355869125,41,2.0693856288747097,0.6508675574036465,41,0.27943396636443896,0.2281031909900718,41,14.797443482933975,3.232590198268101,41,2.790138535383271,1.2518766405297919,41,7.09697469269357,1.597402710798744,41,0.3697111732894326,0.22893766347143543,41,4.266998855079093,1.3357312741835317,41,40.016291641607516,15.370315173434548,41
Skin: Skin - Sun Exposed (Lower leg),12.850128487935143,3.060125376267605,126,32.31170662622603,9.235587819292906,126,16.21830832769,4.101095763309664,126,2.001103607908128,0.6819817816367019,126,0.28507161678539383,0.22401589036481828,126,15.080627808495175,3.9132126772349367,126,2.4131884593812245,0.9930470319644591,126,7.605567250932964,1.7868782292227436,126,0.3849945485828415,0.23140944748065706,126,3.649937290993948,1.0212295226152694,126,43.675016887604244,12.900944968619065,126
Small Intestine: Small Intestine - Terminal Ileum,22.325164205887738,21.01746689910675,17,21.087266809800095,7.414136251687925,17,12.791744007783777,2.355743028682891,17,2.5874608264249934,0.4592221260907411,17,1.693943712641211,0.9919560267428725,17,2.833960189538844,0.9533265288636816,17,2.680936879971448,1.4084421156299476,17,19.677474134108603,4.379891438141266,17,7.005214882247596,5.4939719567591325,17,5.17511986283695,1.8185315914466496,17,14.307884132160872,5.474987263331102,17
Spleen: Spleen,15.894824084113626,2.651736565341923,34,20.868689901688523,3.7705283342689446,34,16.79673259398517,1.4352256757875137,34,2.887917914811302,0.5315469960547058,34,2.655807118205463,1.4301674271461038,34,2.9623340368270874,0.6735669987344926,34,1.977035722311805,0.3495515979193498,34,16.09116049373851,2.984382033155958,34,0.23631124592879235,0.11383166796200331,34,3.3521550788598904,0.925957777170759,34,12.289862197988176,4.741568816962558,34
Stomach: Stomach,14.313914905359715,16.406829277078316,81,16.42468563715617,6.198122638756891,81,11.8603981571433,2.8186346492138417,81,2.65732232288078,0.6594982504853514,81,1.3326559101495836,2.33377594583324,81,2.736794581383834,0.692478225433424,81,1.1572713123427494,0.35049673195931697,81,11.405643969406318,4.547311903038972,81,8.082544456569504,7.599932901559145,81,3.6525136497285633,1.5422694612920644,81,17.934647259888827,14.01824836069008,81
Testis: Testis,3.219741614659627,0.67014007952862,60,20.064390007654826,2.7439740512839434,60,28.448259290059408,2.7286777599550054,60,1.9817721009254456,0.392584444030065,60,0.2616411715435485,0.25915135670017947,60,9.3553840637207,1.5220843016650218,60,1.1869943300882977,0.22895696045216735,60,14.78134546279907,2.981778201116896,60,11.708934370676673,3.838640225576,60,8.332605274518333,1.454860100238258,60,7.014457436402637,2.145001246075901,60
Thyroid: Thyroid,5.646760217348734,1.6861837682924725,120,26.416335018475852,5.987313136382181,120,13.673957904179893,1.794161497935905,120,3.4744513889153796,0.7865132967106021,120,7.989162156979244,3.4591076552869207,120,2.6307643254597983,0.5579050091269039,120,1.8461890866359074,0.591081074001982,120,9.490532004833222,1.8244233561950585,120,0.15031708780055245,0.08761148318368059,120,6.227507243553798,1.6495721795261202,120,17.044519642988842,8.078337874094355,120
Uterus: Uterus,34.12329541312323,12.150579251271527,36,27.539341105355152,11.81364158793444,36,18.96457836363051,4.0662268481523,36,3.1112271216180587,0.5839011526854755,36,2.4691930702990965,2.382154995984357,36,3.287009457747142,0.6626601063311894,36,0.9901322606537073,0.3690675821961737,36,22.150185134675763,6.38684492590859,36,0.37987176328897476,0.2221333177507315,36,2.996049794885847,1.0217771818899075,36,16.45167414347331,6.913280105838025,36
Vagina: Vagina,10.992395485148709,5.850654092233636,34,25.085033080157114,7.0580291416604775,34,11.024700529435101,2.5428925982648036,34,2.7153552910860848,0.6080802208912711,34,1.863993132377372,1.5273514196879665,34,8.78344400490031,5.127404722346365,34,1.8908759127644932,0.8974561859621548,34,13.571644572650696,6.6013845009514105,34,0.7486591268988222,0.36507605497297424,34,3.5503746393848874,0.9639509905860759,34,34.17553848378798,14.24560941056092,34
